ÀÏ·Ã¹øÈ£,Ã¤¼öÀå¼Ò,ÀÇ·ÚÀÏÀÚ,°Ë»çÇ×¸ñ,°á°úÀÏÀÚ,»ýÈ­ÇÐÀû »ê¼Ò¿ä±¸·®,È­ÇÐÀû »ê¼Ò¿ä±¸·®,ÃÑ À¯±âÅº¼Ò,ºÎÀ¯¹°Áú,ÃÑÁú¼Ò,ÃÑÀÎ
84,»ï»ê3±³,2016-11-04,"BOD, COD, TOC, SS, T-N, T-P ",2016-11-21,2.2,4.4,16.7,2.4,3.46,0.064
85,±¼Æ÷1±³,2016-12-07,"BOD, COD, TOC, SS, T-N, T-P ",2016-12-20,2.4,3.7,1.153,12.4,2.13,0.022
86,»ï»ê3±³,2016-12-07,"BOD, COD, TOC, SS, T-N, T-P ",2016-12-20,2.4,3.9,1.372,4,2.35,0.019
87,±¼Æ÷1±³,2017-01-04,"BOD, COD, TOC, SS, T-N, T-P ",2017-01-16,3.4,5.3,1.4,15.2,2.61,0.03
88,±¼Æ÷1±³,2017-02-01,"BOD, TOC, SS, T-N, T-P ",2017-02-10,2.9,-,1.8,14.4,2.52,0.04
89,±¼Æ÷1±³,2017-03-02,"BOD, TOC, SS, T-N, T-P ",2017-03-10,3.7,-,2.1,6.3,2.21,0.033
90,±¼Æ÷1±³,2017-04-05,"BOD, TOC, SS, T-N, T-P ",2017-04-18,2.8,-,1.6,12,1.86,0.026
91,±¼Æ÷1±³,2017-05-11,"BOD, TOC, SS, T-N, T-P ",2017-05-22,3.7,-,1.9,10,1.7,0.005
92,±¼Æ÷1±³,2017-06-02,"BOD, TOC, SS, T-N, T-P ",2017-06-14,3.2,-,2.1,9.2,1.18,0.104
93,±¼Æ÷1±³,2017-07-06,"BOD, TOC, SS, T-N, T-P ",2017-07-13,2.4,-,2.4,9.2,1.82,0.101
94,±¼Æ÷3±³,2017-07-06,"BOD, TOC, SS, T-N, T-P ",2017-07-13,2.6,-,2.1,5.2,1.57,0.091
95,±¼Æ÷1±³,2017-08-02,"BOD, TOC, SS, T-N, T-P ",2017-08-09,2.4,-,1.7,6.4,2.06,0.102
96,±¼Æ÷3±³,2017-08-02,"BOD, TOC, SS, T-N, T-P ",2017-08-09,2.3,-,1.7,4.8,1.95,0.122
97,±¼Æ÷1±³,2017-09-06,"BOD, TOC, SS, T-N, T-P ",2017-09-15,2.4,-,1.5,16.8,1.98,0.059
98,±¼Æ÷3±³,2017-09-06,"BOD, TOC, SS, T-N, T-P ",2017-09-15,1.9,-,1.4,2,1.81,0.061
99,±¼Æ÷1±³,2017-10-19,"BOD, TOC, SS, T-N, T-P ",2017-11-08,1.5,-,2,17.4,1.82,0.249
100,±¼Æ÷3±³,2017-10-19,"BOD, TOC, SS, T-N, T-P ",2017-11-08,1.1,-,1.9,11.4,1.8,0.049
101,±¼Æ÷1±³,2017-11-30,"BOD, TOC, SS, T-N, T-P ",2017-12-06,5.1,-,2.3,43.7,2.18,0.166
102,±¼Æ÷3±³,2017-11-30,"BOD, TOC, SS, T-N, T-P ",2017-12-06,2,-,2,6.8,1.69,0.066
103,±¼Æ÷1±³,2017-12-20,"BOD, TOC, SS, T-N, T-P ",2018-01-02,1.9,-,1.6,20.3,2.8,0.042
104,±¼Æ÷3±³,2017-12-20,"BOD, TOC, SS, T-N, T-P ",2018-01-02,1.4,-,1.7,8.6,2.63,0.032
105,±¼Æ÷3±³,2018-01-10,"BOD, SS, T-N, T-P, TOC",2017-01-18,1.8,-,1.9,7.4,2.44,0.031
106,±¼Æ÷1±³,2018-01-10,"BOD, SS, T-N, T-P, TOC",2017-01-18,2.7,-,2.4,49.3,2.65,0.079
107,±¼Æ÷1±³,2018-02-12,"BOD, SS, T-N, T-P, TOC",2018-02-20,1,-,2.7,18.2,2.38,0.031
108,±¼Æ÷3±³,2018-02-12,"BOD, SS, T-N, T-P, TOC",2018-02-20,1.2,-,2.7,8.8,2.48,0.035
109,±¼Æ÷1±³,2018-03-08,"BOD, SS, T-N, T-P, TOC",2018-03-21,1.9,-,2.2,5.4,2.89,0.03
110,±¼Æ÷3±³,2018-03-08,"BOD, SS, T-N, T-P, TOC",2018-03-21,2.4,-,1.8,7,2.72,0.025
111,±¼Æ÷1±³,2018-04-02,"BOD, SS, T-N, T-P, TOC",2018-04-12,3.2,-,13.2,8.8,2.43,0.055
112,±¼Æ÷3±³,2018-04-02,"BOD, SS, T-N, T-P, TOC",2018-04-12,2.2,-,8.9,4,2.18,0.047
113,±¼Æ÷1±³,2018-05-23,"BOD, SS, T-N, T-P, TOC",2018-06-05,2.1,-,2.9,21,3.12,0.09
114,±¼Æ÷3±³,2018-05-23,"BOD, SS, T-N, T-P, TOC",2018-06-05,2.9,-,3.1,7.3,3.18,0.116
115,±¼Æ÷1±³,2018-06-20,"BOD, SS, T-N, T-P, TOC",2018-06-29,2,-,2.5,2.4,1.59,0.051
116,±¼Æ÷3±³,2018-06-20,"BOD, SS, T-N, T-P, TOC",2018-06-29,2.1,-,2.3,1.8,1.24,0.082
117,±¼Æ÷1±³,2018-07-06,"BOD, SS, T-N, T-P, TOC",2018-07-18,1.7,-,2.7,8,7.79,0.123
118,±¼Æ÷3±³,2018-07-06,"BOD, SS, T-N, T-P, TOC",2018-07-18,1.8,-,2.5,3,7.5,0.157
119,±¼Æ÷1±³,2018-08-02,"BOD, SS, T-N, T-P, TOC",2018-08-21,2.1,-,3.2,13.7,14.76,2.742
120,±¼Æ÷3±³,2018-08-02,"BOD, SS, T-N, T-P, TOC",2018-08-21,2.2,-,3.2,4.7,3.62,0.683
121,±¼Æ÷1±³,2018-09-13-,"BOD, SS, T-N, T-P, TOC",2018-09-20,1.3,-,2.1,2.8,4.65,0.148
122,±¼Æ÷3±³,2018-09-13-,"BOD, SS, T-N, T-P, TOC",2018-09-20,2.1,-,2.4,2.6,4.36,0.229
123,±¼Æ÷1±³,2018-10-12,"BOD, SS, T-N, T-P, TOC",2018-10-18-,2.5,-,2.6,7.6,2.1,0.152
124,±¼Æ÷3±³,2018-10-12,"BOD, SS, T-N, T-P, TOC",2018-10-18-,2.7,-,2.4,3.2,2.28,0.152
125,±¼Æ÷1±³,2018-11-09-,"BOD, SS, T-N, T-P, TOC",2018-11-20-,2.9,-,2.6,8,2.94,0.071
126,±¼Æ÷3±³,2018-11-09-,"BOD, SS, T-N, T-P, TOC",2018-11-20-,3.2,-,3,3.6,4.51,0.101
127,±¼Æ÷1±³,2018-12-05-,"BOD, SS, T-N, T-P, TOC",2018-12-13-,3.3,-,4.3,51.7,2.38,0.093
128,±¼Æ÷3±³,2018-12-05-,"BOD, SS, T-N, T-P, TOC",2018-12-13-,2.1,-,2.4,8.6,2.31,0.036
129,±¼Æ÷1±³,2019-01-04-,"BOD, SS, T-N, T-P, TOC",2019-01-18-,1.1,-,4.3,9.6,3.02,0.046
130,±¼Æ÷3±³,2019-01-04-,"BOD, SS, T-N, T-P, TOC",2019-01-18-,1,-,2.4,5,3.11,0.032
131,±¼Æ÷1±³,2019-02-21-,"BOD, SS, T-N, T-P, TOC",2019-03-04-,2.3,-,2.4,8.2,2.95,0.039
132,±¼Æ÷3±³,2019-02-21-,"BOD, SS, T-N, T-P, TOC",2019-03-04-,2.2,-,2.6,10.2,2.99,0.051
133,±¼Æ÷1±³,2019-03-21-,"BOD, SS, T-N, T-P, TOC",2019-03-29-,2.2,-,3.1,5.2,2.83,0.045
134,±¼Æ÷3±³,2019-03-21-,"BOD, SS, T-N, T-P, TOC",2019-03-29-,3.4,-,2.8,6.3,3.76,0.109
135,±¼Æ÷1±³,2019-04-11-,"BOD, SS, T-N, T-P, TOC",2019-04-22-,2.5,-,4.1,6,12.73,0.131
136,±¼Æ÷3±³,2019-04-11-,"BOD, SS, T-N, T-P, TOC",2019-04-22-,2.7,-,4.3,12.8,12.8,0.145
137,±¼Æ÷1±³,2019-05-27-,"BOD, SS, T-N, T-P, TOC",2019-05-31-,2.1,-,4,6.8,10.97,0.118
138,±¼Æ÷3±³,2019-05-27-,"BOD, SS, T-N, T-P, TOC",2019-05-31-,2,-,4.1,4.8,10.46,0.108
139,±¼Æ÷1±³,2019-06-28-,"BOD, SS, T-N, T-P, TOC",2019-07-04-,1.2,-,4.4,23.8,10.92,0.178
140,±¼Æ÷3±³,2019-06-28-,"BOD, SS, T-N, T-P, TOC",2019-07-04-,1.4,-,4.3,10.4,10.35,0.134
141,±¼Æ÷1±³,2019-07-25-,"BOD, SS, T-N, T-P, TOC",2019-08-01-,1.7,-,3.9,12.1,11.2,0.141
142,±¼Æ÷3±³,2019-07-25-,"BOD, SS, T-N, T-P, TOC",2019-08-01-,1.6,-,4,5.7,12.13,0.095
143,±¼Æ÷1±³,2019-08-28-,"BOD, SS, T-N, T-P, TOC",2019-09-09-,1.1,-,4.4,15.2,10.47,0.221
144,±¼Æ÷3±³,2019-08-28-,"BOD, SS, T-N, T-P, TOC",2019-09-09-,1,-,3.9,5.4,10.32,0.135
145,±¼Æ÷1±³,2019-10-04-,"BOD, SS, T-N, T-P, TOC",2019-10-11-,2,-,3.4,9.2,9.66,0.17
146,±¼Æ÷3±³,2019-10-04-,"BOD, SS, T-N, T-P, TOC",2019-10-11-,2.3,-,3.1,5,9.25,0.143
147,±¼Æ÷1±³,2019-10-31-,"BOD, SS, T-N, T-P, TOC",2019-11-06-,1.8,-,4.2,17.4,11.29,0.154
148,±¼Æ÷3±³,2019-10-31-,"BOD, SS, T-N, T-P, TOC",2019-11-06-,2.2,-,3.8,8.1,11.47,0.201
149,±¼Æ÷1±³,2019-11-29-,"BOD, SS, T-N, T-P, TOC",2019-12-10-,1.4,-,4.2,20,12.14,0.275
150,±¼Æ÷3±³,2019-11-29-,"BOD, SS, T-N, T-P, TOC",2019-12-10-,1.2,-,3.8,3.9,12.2,0.153
151,±¼Æ÷1±³,2019-12-12-,"BOD, SS, T-N, T-P, TOC",2019-12-18-,1.6,-,4.3,18.4,12.49,0.189
152,±¼Æ÷3±³,2019-12-12-,"BOD, SS, T-N, T-P, TOC",2019-12-18-,1.4,-,3.9,5.7,11.61,0.136
153,±¼Æ÷1±³,2020-01-10-,"BOD, SS, T-N, T-P, TOC",2020-01-23-,1.3,-,4.4,15,12.43,0.27
154,±¼Æ÷3±³,2020-01-10-,"BOD, SS, T-N, T-P, TOC",2020-01-23-,1.3,-,4,4.5,11.92,0.152
155,±¼Æ÷1±³,2020-02-14-,"BOD, SS, T-N, T-P, TOC",2020-02-21-,1.4,-,4.7,5.5,13.63,0.206
156,±¼Æ÷3±³,2020-02-14-,"BOD, SS, T-N, T-P, TOC",2020-02-21-,1.5,-,4.8,9.8,13.39,0.217
157,±¼Æ÷1±³,2020-03-18-,"BOD, SS, T-N, T-P, TOC",2020-03-24-,1.4,-,4.5,13.44,13.44,0.238
158,±¼Æ÷3±³,2020-03-18-,"BOD, SS, T-N, T-P, TOC",2020-03-24-,2,-,4.5,13.4,13.36,0.19
159,±¼Æ÷1±³,2020-04-23-,"BOD, SS, T-N, T-P, TOC",2020-04-29-,3.7,-,8.4,160,12.67,0.639
160,±¼Æ÷3±³,2020-04-23-,"BOD, SS, T-N, T-P, TOC",2020-04-29-,2.4,-,4.7,37.5,11.07,0.217
161,±¼Æ÷1±³,2020-05-21-,"BOD, SS, T-N, T-P, TOC",2020-05-29-,2.3,-,3.9,13,9.42,0.214
162,±¼Æ÷3±³,2020-05-21-,"BOD, SS, T-N, T-P, TOC",2020-05-29-,5.8,-,3.9,6.7,7.26,0.153
163,±¼Æ÷1±³,2020-06-26-,"BOD, SS, T-N, T-P, TOC",2020-07-02-,3.6,-,5.4,46,5.92,0.628
164,±¼Æ÷3±³,2020-06-26-,"BOD, SS, T-N, T-P, TOC",2020-07-02-,2.6,-,4.3,9.4,5.28,0.547
,,,,,,-,,,,
